Source,Target,Weight
10.17.181.104,172.28.193.157,7
10.17.181.104,172.28.198.11,3
172.18.12.172,172.28.193.157,54520
172.18.12.172,172.28.198.11,54541
172.28.193.157,10.17.181.104,7
172.28.193.157,172.18.12.172,53595
172.28.193.157,172.28.198.11,112
172.28.198.11,10.17.181.104,3
172.28.198.11,172.18.12.172,53901
172.28.198.11,172.28.193.157,89
172.28.208.188,172.28.209.73,1707
172.28.208.188,172.28.211.45,143
172.28.209.73,172.28.208.188,974
172.28.209.73,172.28.211.45,1127
172.28.209.73,69.89.207.99,1
172.28.211.45,172.28.208.188,91
172.28.211.45,172.28.209.73,1857
69.89.207.99,172.28.209.73,1
10.17.181.104,172.28.208.188,2
10.17.181.104,172.28.209.73,7
10.17.181.104,172.28.211.45,3
172.18.12.172,172.28.208.188,54491
172.18.12.172,172.28.209.73,53121
172.18.12.172,172.28.211.45,54060
172.28.193.157,172.28.208.188,130
172.28.193.157,172.28.209.73,1939
172.28.193.157,172.28.211.45,46
172.28.193.157,173.208.177.234,1
172.28.198.11,172.28.208.188,151
172.28.198.11,172.28.209.73,1733
172.28.198.11,172.28.211.45,118
172.28.208.188,10.17.181.104,2
172.28.208.188,172.18.12.172,53935
172.28.208.188,172.28.193.157,123
172.28.208.188,172.28.198.11,93
172.28.209.73,10.17.181.104,7
172.28.209.73,172.18.12.172,51012
172.28.209.73,172.28.193.157,1093
172.28.209.73,172.28.198.11,981
172.28.211.45,10.17.181.104,3
172.28.211.45,172.18.12.172,54089
172.28.211.45,172.28.193.157,64
172.28.211.45,172.28.198.11,124
172.28.211.45,65.182.224.39,1
173.208.177.234,172.28.193.157,1
65.182.224.39,172.28.211.45,1
